fold,variant,sigma_ref,n_test,n_train,val_tail_positives,tail_gate_active,sigma_floor,scaler_hash,seed_val_losses,seed_best_epochs,val_loss_dispersion,checkpoint_hash
0,B1,0.03824,546,,,,,,,,,
0,B2,0.03824,546,,,,,,,,,
0,B3,0.03824,546,,,,,,,,,
0,E1,0.03824,546,3174.0,42.0,True,0.020904,fd66ceb0a2215ce9,"{17: 1.42091, 29: 1.34691, 43: 1.3755, 71: 1.38529, 101: 1.39087}","{17: 35, 29: 36, 43: 24, 71: 29, 101: 24}",0.02391,8c94905a96f95725
0,E2,0.03824,546,3174.0,42.0,True,0.020904,43bc159ab9a05072,"{17: 1.45639, 29: 1.39674, 43: 1.42264, 71: 1.36978, 101: 1.39237}","{17: 11, 29: 38, 43: 11, 71: 34, 101: 29}",0.02962,18d1a7fcbdc32289
0,E3,0.03824,546,3174.0,42.0,True,0.020904,fae62cdb647a5070,"{17: 1.47317, 29: 1.43843, 43: 1.43489, 71: 1.4085, 101: 1.41262}","{17: 10, 29: 17, 43: 10, 71: 34, 101: 24}",0.02307,d0c45cd6a74df4d4
0,E4,0.03824,546,3174.0,42.0,True,0.020904,2185a17f94f11331,"{17: 1.475, 29: 1.40809, 43: 1.42342, 71: 1.44293, 101: 1.43186}","{17: 10, 29: 25, 43: 10, 71: 13, 101: 15}",0.02246,125b73c626b4257f
1,B1,0.03665,546,,,,,,,,,
1,B2,0.03665,546,,,,,,,,,
1,B3,0.03665,546,,,,,,,,,
1,E1,0.03665,546,3720.0,37.0,True,0.019292,da72ec733130a8ee,"{17: 1.33616, 29: 1.20003, 43: 1.21451, 71: 1.34136, 101: 1.32619}","{17: 13, 29: 46, 43: 39, 71: 11, 101: 11}",0.06272,99ba7f61b3c15c78
1,E2,0.03665,546,3720.0,37.0,True,0.019292,4ef5820457a8c9f4,"{17: 1.28024, 29: 1.10883, 43: 1.17211, 71: 1.33699, 101: 1.2587}","{17: 32, 29: 46, 43: 31, 71: 11, 101: 26}",0.08102,afc94f2e6abbc0e7
1,E3,0.03665,546,3720.0,37.0,True,0.019292,6daa7ff43a617d6d,"{17: 1.17915, 29: 1.18888, 43: 1.20852, 71: 1.33191, 101: 1.32769}","{17: 52, 29: 41, 43: 28, 71: 11, 101: 11}",0.06809,6ece37928d13a1cd
1,E4,0.03665,546,3720.0,37.0,True,0.019292,be6de9e1435a83ab,"{17: 1.20289, 29: 1.06867, 43: 1.17411, 71: 1.33048, 101: 1.32752}","{17: 39, 29: 46, 43: 28, 71: 11, 101: 11}",0.09906,81a92d689441a0f1
2,B1,0.03492,546,,,,,,,,,
2,B2,0.03492,546,,,,,,,,,
2,B3,0.03492,546,,,,,,,,,
2,E1,0.03492,546,4266.0,13.0,True,0.017526,e3aa7d2296c53375,"{17: 0.83623, 29: 0.946, 43: 0.86125, 71: 0.95477, 101: 0.79604}","{17: 66, 29: 14, 43: 57, 71: 15, 101: 45}",0.06206,d1477803d3cbddd0
2,E2,0.03492,546,4266.0,13.0,True,0.017526,80b959a33b1ddec6,"{17: 0.88429, 29: 0.72448, 43: 0.77434, 71: 0.82311, 101: 0.73196}","{17: 40, 29: 37, 43: 51, 71: 51, 101: 46}",0.05978,6ed1659544978d40
2,E3,0.03492,546,4266.0,13.0,True,0.017526,16d61ba76e8fe7bc,"{17: 0.77597, 29: 0.66571, 43: 0.71798, 71: 0.73663, 101: 0.73543}","{17: 59, 29: 56, 43: 58, 71: 51, 101: 65}",0.03577,6b5780675b117ae8
2,E4,0.03492,546,4266.0,13.0,True,0.017526,1eda69d3a9181409,"{17: 0.8645, 29: 0.84412, 43: 0.87556, 71: 0.79518, 101: 0.89332}","{17: 29, 29: 32, 43: 38, 71: 51, 101: 37}",0.03369,4650d355502c7525
3,B1,0.03365,546,,,,,,,,,
3,B2,0.03365,546,,,,,,,,,
3,B3,0.03365,546,,,,,,,,,
3,E1,0.03365,546,4812.0,66.0,True,0.016643,04567da8ff6aea85,"{17: 1.494, 29: 1.48305, 43: 1.44863, 71: 1.53496, 101: 1.55137}","{17: 34, 29: 39, 43: 44, 71: 26, 101: 31}",0.03686,6f229004afc60b93
3,E2,0.03365,546,4812.0,66.0,True,0.016643,2e3ef8973a897ed3,"{17: 1.57416, 29: 1.58612, 43: 1.66147, 71: 1.54154, 101: 1.62286}","{17: 28, 29: 21, 43: 15, 71: 23, 101: 16}",0.04133,526ffd13cff9895b
3,E3,0.03365,546,4812.0,66.0,True,0.016643,9f6d0c9236ba3dec,"{17: 1.59942, 29: 1.57075, 43: 1.67658, 71: 1.55676, 101: 1.58603}","{17: 22, 29: 21, 43: 15, 71: 23, 101: 20}",0.04187,f948a7a4f337912b
3,E4,0.03365,546,4812.0,66.0,True,0.016643,6741801b8a0a8c30,"{17: 1.5702, 29: 1.58352, 43: 1.67199, 71: 1.55622, 101: 1.55303}","{17: 21, 29: 21, 43: 10, 71: 23, 101: 38}",0.04386,38e991de2dc08a36
4,B1,0.03329,546,,,,,,,,,
4,B2,0.03329,546,,,,,,,,,
4,B3,0.03329,546,,,,,,,,,
4,E1,0.03329,546,5358.0,50.0,True,0.016687,72e9389fd29998ad,"{17: 1.44619, 29: 1.44101, 43: 1.45244, 71: 1.44603, 101: 1.44552}","{17: 15, 29: 10, 43: 7, 71: 14, 101: 9}",0.00365,e7b8b3fb298c7101
4,E2,0.03329,546,5358.0,50.0,True,0.016687,6bbef9764557fe1a,"{17: 1.42651, 29: 1.42664, 43: 1.45686, 71: 1.45178, 101: 1.44462}","{17: 15, 29: 10, 43: 7, 71: 12, 101: 17}",0.01262,4b5126eb94cd76ad
4,E3,0.03329,546,5358.0,50.0,True,0.016687,edb328dea7c4db05,"{17: 1.42337, 29: 1.42021, 43: 1.44309, 71: 1.4388, 101: 1.42201}","{17: 15, 29: 10, 43: 10, 71: 12, 101: 17}",0.0095,c2a316349995e746
4,E4,0.03329,546,5358.0,50.0,True,0.016687,743b776c155be6b3,"{17: 1.43194, 29: 1.43087, 43: 1.44693, 71: 1.44115, 101: 1.43914}","{17: 9, 29: 8, 43: 6, 71: 12, 101: 9}",0.00598,01c738090600dc98
5,B1,0.03269,546,,,,,,,,,
5,B2,0.03269,546,,,,,,,,,
5,B3,0.03269,546,,,,,,,,,
5,E1,0.03269,546,5904.0,26.0,True,0.017081,1ac2a18bf6b97264,"{17: 0.94554, 29: 0.98241, 43: 0.93791, 71: 1.01257, 101: 0.90541}","{17: 47, 29: 44, 43: 42, 71: 34, 101: 53}",0.03712,06325584f4028e25
5,E2,0.03269,546,5904.0,26.0,True,0.017081,d15e3cd8536eb6a8,"{17: 1.03906, 29: 1.01799, 43: 0.96901, 71: 0.98265, 101: 0.92504}","{17: 19, 29: 28, 43: 23, 71: 34, 101: 31}",0.03963,b1b61659e9fdf796
5,E3,0.03269,546,5904.0,26.0,True,0.017081,708dca8869042511,"{17: 1.00664, 29: 0.98615, 43: 0.95273, 71: 1.03492, 101: 0.97151}","{17: 31, 29: 22, 43: 23, 71: 34, 101: 31}",0.02842,3c9d39e05434d1e2
5,E4,0.03269,546,5904.0,26.0,True,0.017081,f9e57ec67ed750be,"{17: 0.89779, 29: 0.9616, 43: 0.9101, 71: 0.95727, 101: 0.88236}","{17: 31, 29: 28, 43: 23, 71: 47, 101: 31}",0.03197,2d7871e03021c5c0
6,B1,0.03233,384,,,,,,,,,
6,B2,0.03233,384,,,,,,,,,
6,B3,0.03233,384,,,,,,,,,
6,E1,0.03233,384,6450.0,97.0,True,0.016657,f466203c92541258,"{17: 1.93344, 29: 1.8615, 43: 1.87118, 71: 1.79346, 101: 1.88289}","{17: 22, 29: 22, 43: 16, 71: 18, 101: 14}",0.04497,ecb29f3e68857b7c
6,E2,0.03233,384,6450.0,97.0,True,0.016657,790d4d5672f682d2,"{17: 1.89116, 29: 1.84662, 43: 1.88626, 71: 1.774, 101: 1.92039}","{17: 16, 29: 18, 43: 16, 71: 18, 101: 14}",0.05063,7650ceb116796520
6,E3,0.03233,384,6450.0,97.0,True,0.016657,1d4463c405cc2ced,"{17: 1.85105, 29: 1.83049, 43: 1.87903, 71: 1.74931, 101: 1.93307}","{17: 16, 29: 18, 43: 11, 71: 18, 101: 11}",0.06042,3cae3e011ca82e95
6,E4,0.03233,384,6450.0,97.0,True,0.016657,659b7d6d4738920d,"{17: 2.10612, 29: 1.98976, 43: 2.0228, 71: 1.75212, 101: 1.99662}","{17: 8, 29: 12, 43: 7, 71: 18, 101: 11}",0.11817,8ba57a4e65985867
